New ID,Vendor,Charge_Date,Cardholder_Agency,PC_Number,Billing_Amount
143323,AMAZON,3/20/2023,Mayor's Office,PC-179814,68.02
110797,AMAZON,12/20/2023,Mayor's Office,PC-147785,48.89
143323,AMAZON,12/13/2023,Mayor's Office,PC-152756,7.5
143323,AMAZON,12/14/2023,Mayor's Office,PC-152756,68.84
143323,AMAZON,12/6/2023,Mayor's Office,PC-152756,59.9
143323,AMAZON,12/13/2023,Mayor's Office,PC-152756,229.8
143323,AMAZON,12/6/2023,Mayor's Office,PC-152756,32.99
143323,AMAZON,12/14/2023,Mayor's Office,PC-152756,22.57
110797,AMAZON,9/29/2023,Mayor's Office,PC-165550,189.99
143323,AMAZON,10/31/2023,Mayor's Office,PC-252328,145.16
143323,AMAZON,11/25/2023,Mayor's Office,PC-123821,222.99
143323,AMAZON,11/28/2023,Mayor's Office,PC-123821,69.15
143323,AMAZON,4/5/2023,Mayor's Office,PC-296834,11.99
143323,AMAZON,4/5/2023,Mayor's Office,PC-296834,109.74
143323,AMAZON,10/25/2023,Mayor's Office,PC-150520,233.7
110797,AMAZON,10/17/2023,Mayor's Office,PC-238087,55.48
110797,AMAZON,6/3/2023,Mayor's Office,PC-245618,179.98
110797,AMAZON,10/17/2023,Mayor's Office,PC-238087,236.88
143323,AMAZON,10/25/2023,Mayor's Office,PC-150520,131.58
143323,AMAZON,8/3/2023,Mayor's Office,PC-264276,48.3
171654,PAYPAL,4/18/2023,Mayor's Office,PC-111437,2000
210270,AMAZON,7/31/2023,Mayor's Office,PC-297909,69.44
210270,AMAZON,7/31/2023,Mayor's Office,PC-297909,17.33
110797,AMAZON,7/19/2023,Mayor's Office,PC-223399,211.06
110797,AMAZON,7/14/2023,Mayor's Office,PC-223399,307.98
110797,AMAZON,7/18/2023,Mayor's Office,PC-223399,312.61
110797,AMAZON,3/9/2023,Mayor's Office,PC-141428,18.48
110797,SQUARE,3/6/2023,Mayor's Office,PC-141428,256
110797,AMAZON,3/9/2023,Mayor's Office,PC-141428,71.94
110797,SQUARE,3/8/2023,Mayor's Office,PC-141428,776.25
110797,SQUARE,3/6/2023,Mayor's Office,PC-141428,878
110797,AMAZON,7/18/2023,Mayor's Office,PC-223399,334.55
110797,AMAZON,7/17/2023,Mayor's Office,PC-223399,73.77
110797,AMAZON,7/18/2023,Mayor's Office,PC-223399,74.95
110797,AMAZON,7/18/2023,Mayor's Office,PC-223399,121.42
110797,AMAZON,3/8/2023,Mayor's Office,PC-141428,14.99
110797,AMAZON,3/3/2023,Mayor's Office,PC-141428,1034.75
110797,AMAZON,3/9/2023,Mayor's Office,PC-141428,128.62
110797,AMAZON,3/9/2023,Mayor's Office,PC-141428,137.14
171654,AMAZON,1/20/2023,Mayor's Office,PC-110154,61.45
110797,AMAZON,2/1/2023,Mayor's Office,PC-154666,22.88
110797,AMAZON,2/1/2023,Mayor's Office,PC-154666,23.58
110797,AMAZON,1/31/2023,Mayor's Office,PC-154666,49.95
143323,AMAZON,10/25/2023,Mayor's Office,PC-150520,17.24
143323,AMAZON,10/26/2023,Mayor's Office,PC-150520,22.72
143323,AMAZON,10/27/2023,Mayor's Office,PC-150520,38.93
171654,VENMO,3/10/2023,Mayor's Office,PC-231454,1030
171654,AMAZON,3/16/2023,Mayor's Office,PC-231454,12.99
110797,AMAZON,3/14/2023,Mayor's Office,PC-238459,29.71
110797,SQUARE,3/8/2023,Mayor's Office,PC-238459,1449
110797,SQUARE,3/10/2023,Mayor's Office,PC-238459,1278
171654,AMAZON,3/9/2023,Mayor's Office,PC-231454,413.9
171654,AMAZON,3/16/2023,Mayor's Office,PC-231454,47.56
171654,AMAZON,3/9/2023,Mayor's Office,PC-231454,832.55
171654,AMAZON,1/19/2023,Mayor's Office,PC-105848,8.22
171654,AMAZON,1/19/2023,Mayor's Office,PC-105848,7.98
110797,PAYPAL,5/26/2023,Mayor's Office,PC-104557,250
143323,AMAZON,5/31/2023,Mayor's Office,PC-212980,24.98
110797,SQUARE,2/24/2023,Mayor's Office,PC-132216,632
110797,AMAZON,6/26/2023,Mayor's Office,PC-259268,93.46
110797,AMAZON,8/6/2023,Mayor's Office,PC-283593,37.78
110797,AMAZON,10/3/2023,Mayor's Office,PC-118012,12.86
110797,SQUARE,5/15/2023,Mayor's Office,PC-204031,672.75
110797,VENMO,5/12/2023,Mayor's Office,PC-204031,618
110797,VENMO,5/12/2023,Mayor's Office,PC-204031,412
110797,VENMO,5/13/2023,Mayor's Office,PC-204031,309
110797,AMAZON,2/7/2023,Mayor's Office,PC-281283,9.89
110797,SQUARE,2/23/2023,Mayor's Office,PC-281283,2000
171654,AMAZON,3/18/2023,Mayor's Office,PC-237765,12.63
171654,AMAZON,3/18/2023,Mayor's Office,PC-237765,14.96
110797,AMAZON,12/4/2023,Mayor's Office,PC-174199,57.83
110797,AMAZON,12/1/2023,Mayor's Office,PC-174199,55.97
110797,AMAZON,12/4/2023,Mayor's Office,PC-174199,46.98
110797,AMAZON,12/6/2023,Mayor's Office,PC-174199,38.6
110797,VENMO,12/6/2023,Mayor's Office,PC-174199,1545
110797,AMAZON,12/1/2023,Mayor's Office,PC-174199,25.94
110797,AMAZON,12/7/2023,Mayor's Office,PC-174199,19.99
110797,AMAZON,12/7/2023,Mayor's Office,PC-174199,19.99
110797,AMAZON,12/6/2023,Mayor's Office,PC-174199,135
110797,AMAZON,6/10/2023,Mayor's Office,PC-245618,155.64
110797,AMAZON,6/2/2023,Mayor's Office,PC-245618,10.99
110797,SQUARE,3/17/2023,Mayor's Office,PC-277552,105
171654,AMAZON,3/23/2023,Mayor's Office,PC-237765,155
171654,AMAZON,3/18/2023,Mayor's Office,PC-237765,19.98
171654,AMAZON,3/23/2023,Mayor's Office,PC-237765,50
110797,AMAZON,9/16/2023,Mayor's Office,PC-113803,113.39
252276,SQUARE,7/8/2023,Mayor's Office,PC-117252,-278.9
252276,SQUARE,7/8/2023,Mayor's Office,PC-117252,278.9
252146,AMAZON,2/28/2023,Mayor's Office,PC-118818,19.58
252276,SQUARE,7/8/2023,Mayor's Office,PC-117252,256.08
163241,AMAZON,12/5/2023,Mayor's Office,PC-218012,1014.26
163241,AMAZON,9/11/2023,Mayor's Office,PC-164364,159.06
163241,AMAZON,10/7/2023,Mayor's Office,PC-120449,55
163241,AMAZON,6/29/2023,Mayor's Office,PC-175536,15.99
163241,AMAZON,6/29/2023,Mayor's Office,PC-215194,31.52
163241,AMAZON,9/28/2023,Mayor's Office,PC-233205,8.41
163241,AMAZON,6/19/2023,Mayor's Office,PC-166758,144.87
163241,AMAZON,6/19/2023,Mayor's Office,PC-255479,17.44
252146,AMAZON,4/5/2023,Mayor's Office,PC-232825,25.73
163241,AMAZON,6/28/2023,Mayor's Office,PC-291805,22.99
252146,AMAZON,4/4/2023,Mayor's Office,PC-179075,5.93
252146,AMAZON,12/7/2023,Mayor's Office,PC-102084,39.95
148860,AMAZON,9/26/2023,Attorney's Office,PC-149121,33.03
163241,AMAZON,6/19/2023,Mayor's Office,PC-214853,139.5
163241,AMAZON,6/26/2023,Mayor's Office,PC-273594,14.59
163241,AMAZON,8/22/2023,Mayor's Office,PC-294058,58.92
163241,AMAZON,3/21/2023,Mayor's Office,PC-244424,34.18
163241,AMAZON,2/20/2023,Mayor's Office,PC-242935,267.31
163241,AMAZON,2/20/2023,Mayor's Office,PC-123602,34.08
163241,AMAZON,10/17/2023,Mayor's Office,PC-254588,23.25
163241,AMAZON,8/29/2023,Mayor's Office,PC-116192,40.43
163241,AMAZON,9/14/2023,Mayor's Office,PC-178504,-53.2
163241,AMAZON,4/20/2023,Mayor's Office,PC-251358,13.49
