Shape,NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
<geoprocessing describe geometry object object at 0x0F132980>,Capitol Hill,16120.0,2161.0,11919.0,518.0,0.0,685.0,0.0,0.0,837.0,13.4057072,73.93920596,3.2133995,0.0,4.24937965,0.0,0.0,5.19230769,8946.0,7174.0,91.0,24.0,83.0,52.0,115.0,199.0,5105.0,5104.0,2190.0,1552.0,1245.0,500.0,110.0,250.0,1666.0,1.55086849,10.33498759,34.65693574,36.06857143,32.94140625,16053,1616,0,0,24,58,85,893,556,14437,10668.0,2956.0,4108.0,2447.0,635.0,522.0,14747.0,522.0,1457.0,3129.0,9639.0,16029.0,14747.0,812.0,12488,11879,609,2831,9048,11879,1435,1214,221,71,150,10444,8174,2270,528,476,425,556,446,731,496,690,409,949,1598,1365,774,569,1299,568,62192,89172,57422,78564,128750,49134,56624,42961,0,36133,45074,57032,62225,1956.58568647,0,640,445,482,506,1362,2258,2054,718,4023,952,958,339727,14891,1229,301,16,73,17,195,420,80,223,101,16,41,22,0,19,0,0,467,385,52,251,82,82,9.61666667,1.61030596
<geoprocessing describe geometry object object at 0x047723E0>,Highland,11248.0,2073.0,8223.0,69.0,203.0,216.0,0.0,26.0,438.0,18.4299431,73.10633001,0.61344239,1.80476529,1.92034139,0.0,0.2311522,3.8940256,5470.0,5778.0,418.0,306.0,339.0,204.0,724.0,635.0,3093.0,3377.0,1538.0,844.0,520.0,228.0,289.0,1267.0,954.0,11.26422475,8.48150782,33.12348238,34.15466984,32.10141509,10904,1387,59,76,186,263,316,229,258,9517,5789.0,1225.0,2561.0,1316.0,488.0,199.0,9016.0,585.0,616.0,1045.0,6770.0,10830.0,9483.0,1022.0,6271,6004,267,2241,3763,6004,1723,1258,465,222,243,4281,2734,1547,267,30,132,251,84,163,89,160,184,485,322,765,451,720,662,1239,103880,134353,75904,139115,160120,63256,77178,56962,18604,13716,51345,77097,96036,1994.34940945,31,1944,898,508,231,229,124,308,250,1748,1188,1190,605346,10550,698,110,13,48,9,40,103,85,12,6,0,16,16,0,0,0,0,469,377,0,355,22,92,7.73333333,1.51511391
<geoprocessing describe geometry object object at 0x04439460>,Platt Park,6613.0,711.0,5001.0,54.0,0.0,96.0,0.0,20.0,731.0,10.75154998,75.62377136,0.81657342,0.0,1.45168607,0.0,0.3024346,11.05398458,3196.0,3417.0,619.0,541.0,238.0,41.0,1160.0,291.0,764.0,1534.0,1049.0,788.0,619.0,256.0,152.0,1439.0,829.0,21.76016936,12.53591411,36.40384615,37.82832618,35.21137725,6259,1547,374,151,246,238,41,155,342,4712,2908.0,766.0,993.0,910.0,152.0,87.0,4997.0,62.0,280.0,736.0,3919.0,5994.0,5549.0,185.0,3120,2968,152,1915,1053,2968,1659,1373,286,68,218,1309,811,498,203,45,0,63,6,94,23,89,43,115,164,342,329,192,309,951,122567,163950,73086,165258,196550,75204,89610,55268,0,20254,57580,71861,95642,1939.0,0,399,258,8,64,15,60,267,101,1948,1248,1353,686172,6299,314,137,91,46,0,0,85,61,11,13,0,0,0,0,0,0,16,76,48,0,3,45,28,6.75,5.22476842
<geoprocessing describe geometry object object at 0x044399C0>,Sunnyside,10441.0,4304.0,4978.0,514.0,69.0,230.0,10.0,52.0,284.0,41.22210516,47.67742553,4.92290011,0.66085624,2.20285413,0.09577627,0.49803659,2.72004597,4932.0,5509.0,457.0,430.0,565.0,232.0,887.0,950.0,1698.0,2497.0,1574.0,1093.0,870.0,661.0,211.0,1684.0,1771.0,16.1287233,16.96197682,36.07509011,37.51539069,34.59146341,10140,1728,131,53,370,431,313,173,257,8412,5233.0,936.0,2482.0,974.0,569.0,272.0,8358.0,1328.0,1250.0,1552.0,4228.0,9984.0,7798.0,1964.0,4974,4706,268,2659,2047,4706,2470,1565,905,261,644,2236,1484,752,421,150,131,108,107,138,359,65,139,268,369,450,554,324,546,577,80444,82500,46448,102643,116765,48052,50522,44747,21154,33835,38400,68992,73795,1944.8592437,0,245,53,59,216,296,439,960,476,2230,941,968,499822,9308,1133,48,35,0,0,13,172,32,6,134,0,64,47,0,17,0,0,849,826,11,747,68,23,17.23333333,14.39255198
<geoprocessing describe geometry object object at 0x044399C0>,Southmoor Park,6050.0,383.0,5005.0,202.0,16.0,230.0,0.0,0.0,214.0,6.33057851,82.72727273,3.33884298,0.26446281,3.80165289,0.0,0.0,3.53719008,3147.0,2903.0,139.0,176.0,156.0,93.0,315.0,294.0,1915.0,1382.0,770.0,460.0,424.0,234.0,256.0,564.0,833.0,9.32231405,13.76859504,33.26266281,33.93960149,32.3238342,5953,955,39,0,168,122,140,295,191,4998,3553.0,913.0,1425.0,873.0,271.0,71.0,4888.0,89.0,367.0,929.0,3503.0,5911.0,5361.0,160.0,3773,3492,281,906,2586,3492,1095,879,216,157,59,2397,1764,633,225,43,43,32,68,34,118,188,165,264,360,495,396,428,302,331,85404,118014,62985,115548,140693,56366,62707,52044,1250,49800,54652,66333,73913,2001.7477221,0,1179,878,645,128,189,448,277,14,15,1078,1131,535028,5460,590,101,8,18,7,68,253,31,130,28,64,121,0,0,15,0,6,109,79,0,9,70,30,8.95,7.21229931
<geoprocessing describe geometry object object at 0x0F132860>,Hilltop,8886.0,656.0,6847.0,427.0,17.0,370.0,25.0,34.0,510.0,7.38239928,77.05379248,4.80531173,0.19131218,4.16385325,0.28134144,0.38262435,5.73936529,4160.0,4726.0,610.0,558.0,585.0,398.0,1168.0,1130.0,649.0,1205.0,1025.0,1337.0,1161.0,840.0,371.0,2151.0,2518.0,24.20661715,28.33670943,42.55512195,43.62222222,41.85806452,8497,2118,183,161,392,497,512,207,166,6379,3322.0,884.0,1488.0,693.0,117.0,140.0,6370.0,159.0,318.0,667.0,5226.0,8276.0,7368.0,308.0,3957,3635,322,2652,983,3635,2303,2037,266,92,174,1332,1049,283,130,59,28,45,23,63,84,60,111,75,376,309,226,245,498,1303,148315,194575,104980,258876,321356,76366,100962,51753,0,36856,29878,88344,107728,1961.01219512,0,556,497,190,33,375,369,1035,449,453,1189,1234,973008,8219,667,194,64,44,28,58,221,78,53,59,31,43,0,0,15,0,10,199,82,0,18,64,117,3.5,1.74363808
<geoprocessing describe geometry object object at 0x047723E0>,Chaffee Park,3504.0,1753.0,1561.0,85.0,7.0,16.0,0.0,0.0,82.0,50.02853881,44.54908676,2.42579909,0.19977169,0.456621,0.0,0.0,2.34018265,1577.0,1927.0,150.0,85.0,102.0,76.0,235.0,216.0,658.0,784.0,383.0,410.0,368.0,228.0,222.0,413.0,763.0,11.78652968,21.77511416,36.9,33.4,39.9,3487,595,99,20,67,51,66,145,147,2892,1713.0,250.0,659.0,519.0,153.0,132.0,2895.0,480.0,706.0,494.0,1215.0,3354.0,2367.0,971.0,1733,1664,69,993,671,1664,796,614,182,32,150,868,672,196,49,111,26,67,77,140,52,30,36,106,135,352,100,116,170,97,77570,80781,44370,91365,100620,49291,55167,40793,32853,30250,40500,66923,57917,1949.0,31,249,31,25,11,32,84,274,924,72,1116,1138,367700,3011,493,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,477,468,0,445,23,9,7.9,1.25628141
<geoprocessing describe geometry object object at 0x04439BA0>,Harvey Park South,8949.0,4292.0,3638.0,313.0,6.0,328.0,179.0,132.0,61.0,47.960666,40.65258688,3.4975975,0.0670466,3.66521399,2.00022349,1.47502514,0.68164041,4578.0,4371.0,539.0,384.0,584.0,385.0,923.0,1202.0,976.0,1524.0,944.0,1576.0,999.0,430.0,375.0,1892.0,1441.0,21.14202704,16.10235781,38.11122047,36.44776119,41.60169492,8674,1927,157,87,275,411,665,231,101,6747,3767.0,698.0,1451.0,1016.0,405.0,197.0,6262.0,1237.0,1286.0,1689.0,2050.0,8410.0,6380.0,1418.0,3675,3556,119,2104,1452,3556,1992,1292,700,241,459,1564,1263,301,323,127,252,14,160,46,53,72,96,228,487,392,531,207,333,235,72535,101141,37054,99560,120838,45466,52128,34382,13125,15500,47342,71608,70362,1957.60841507,0,52,72,248,296,528,342,1937,76,124,998,1001,397863,8054,895,39,0,0,0,39,336,5,109,222,0,0,0,0,0,0,34,486,486,0,456,30,0,10.0,9.47509281
<geoprocessing describe geometry object object at 0x044399C0>,Fort Logan,8907.0,1857.0,5877.0,226.0,7.0,350.0,12.0,5.0,573.0,20.84877063,65.98181206,2.53733019,0.07858987,3.92949366,0.1347255,0.05613562,6.43314247,4100.0,4807.0,598.0,606.0,513.0,247.0,1204.0,917.0,786.0,1251.0,963.0,1410.0,1132.0,663.0,581.0,1964.0,2254.0,22.05007298,25.30593915,42.76168224,44.19762846,41.17177243,8649,2209,149,247,497,390,354,390,182,6440,3327.0,640.0,1324.0,925.0,278.0,160.0,6540.0,623.0,1579.0,1933.0,2405.0,8309.0,7369.0,569.0,3463,3279,184,2586,693,3279,2230,1621,609,227,382,1049,818,231,173,60,119,88,95,71,90,86,134,192,252,516,442,334,295,332,88541,87512,43986,107669,115693,48793,53854,44190,16607,27437,47828,64108,70000,1973.7607604,86,33,152,356,293,1394,742,366,8,33,974,1019,447906,8447,460,96,18,19,0,59,193,59,51,83,0,17,0,0,0,16,17,137,106,0,85,21,31,12.36666667,7.0212086
<geoprocessing describe geometry object object at 0x044399C0>,Congress Park,11445.0,977.0,8839.0,528.0,33.0,411.0,0.0,23.0,634.0,8.53647881,77.23023154,4.61336828,0.28833552,3.59108781,0.0,0.20096112,5.53953692,5801.0,5644.0,686.0,444.0,379.0,213.0,1130.0,624.0,1940.0,3302.0,1606.0,1237.0,886.0,480.0,240.0,1722.0,1412.0,15.04587156,12.33726518,35.52892187,35.39939435,35.63491189,10981,1816,236,82,341,275,223,305,354,9165,5956.0,1180.0,2986.0,1250.0,313.0,227.0,9090.0,311.0,645.0,1008.0,7126.0,10759.0,9888.0,422.0,6407,6059,348,2650,3409,6059,2315,1801,514,136,378,3744,2843,901,330,366,81,353,156,184,164,268,88,496,631,535,468,364,458,1117,72919,146481,64113,125164,176160,58822,62715,55622,833,7982,24799,70095,79248,1939.0,0,111,342,171,215,388,1321,521,109,3229,965,971,663120,10809,636,94,49,14,14,17,328,211,48,55,14,26,13,0,0,13,30,158,113,11,60,42,45,10.0,9.32692
<geoprocessing describe geometry object object at 0x0F132A20>,Barnum,5906.0,4300.0,1280.0,10.0,218.0,9.0,0.0,7.0,82.0,72.8073146,21.67287504,0.16931934,3.69116153,0.1523874,0.0,0.11852354,1.38841856,3019.0,2887.0,471.0,379.0,426.0,411.0,850.0,964.0,656.0,1114.0,822.0,682.0,417.0,245.0,156.0,1687.0,768.0,28.56417203,13.00372503,33.1,32.3,36.1,5640,1489,40,70,310,293,504,223,49,4151,2433.0,216.0,844.0,1110.0,119.0,144.0,3858.0,1162.0,1253.0,794.0,649.0,5435.0,2694.0,2719.0,2095,1932,163,1064,868,1932,1288,844,444,150,294,644,385,259,99,111,132,68,133,91,140,73,73,234,298,208,160,80,24,8,52890,53119,19851,57367,54817,30283,36714,21321,21186,30148,37546,0,55208,1952.0,0,0,122,24,28,82,159,811,283,586,1262,1445,323200,4751,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,1142,0,1078,64,13,22.0,22.82608696
<geoprocessing describe geometry object object at 0x047725A0>,Hale,8704.0,1436.0,6174.0,219.0,2.0,82.0,242.0,149.0,400.0,16.49816176,70.93290441,2.51608456,0.02297794,0.94209559,2.78033088,1.71185662,4.59558824,4541.0,4163.0,439.0,247.0,683.0,124.0,686.0,864.0,1457.0,2053.0,1450.0,880.0,713.0,383.0,218.0,1493.0,1346.0,17.15303309,15.46415441,35.89624939,36.20976253,35.50709607,8407,1962,121,101,154,567,251,280,488,6445,4708.0,832.0,2324.0,1077.0,302.0,173.0,6673.0,341.0,578.0,1641.0,4113.0,8265.0,7321.0,317.0,4969,4594,375,1913,2681,4594,1740,1150,590,168,422,2854,2297,557,214,172,146,229,140,219,162,94,187,528,517,489,431,225,380,461,65976,110046,54632,109765,156054,48292,48317,48269,27022,27334,34196,67603,77320,1960.48454158,0,619,49,221,262,446,938,707,734,993,958,964,566476,7855,849,290,73,88,15,114,182,14,53,10,97,18,0,0,0,0,176,183,170,0,81,89,13,7.16666667,6.28378401
<geoprocessing describe geometry object object at 0x047725A0>,Athmar Park,8852.0,5555.0,2815.0,81.0,121.0,176.0,0.0,34.0,70.0,62.75417985,31.800723,0.91504745,1.36692273,1.98825124,0.0,0.38409399,0.79078174,4445.0,4407.0,388.0,481.0,726.0,467.0,869.0,1411.0,1300.0,1849.0,1232.0,1015.0,622.0,371.0,183.0,2062.0,1189.0,23.29417081,13.43199277,34.11790157,35.36605416,32.53435583,8672,2216,138,186,416,568,546,305,57,6456,3923.0,887.0,1486.0,1060.0,235.0,255.0,6202.0,1499.0,1540.0,1578.0,1585.0,8464.0,4355.0,3967.0,3369,3260,109,2037,1223,3260,2027,1313,714,181,533,1233,744,489,118,132,111,111,163,154,180,186,51,301,459,373,284,176,345,116,64019,62025,29999,79044,68405,41016,43231,34395,26712,34984,40390,73773,66831,1953.98557944,0,32,19,159,55,238,119,1907,415,425,937,966,362114,6902,1950,25,7,0,18,0,104,27,9,68,0,7,7,0,0,0,0,1814,1783,0,1783,0,31,16.9,16.68264238
